id,nhogar,miembro,comuna,dominio,edad,parentesco_jefe,situacion_conyugal,num_miembro_padre,num_miembro_madre,estado_ocupacional,cat_ocupacional,calidad_ingresos_lab,ingreso_total_lab,calidad_ingresos_no_lab,ingreso_total_no_lab,calidad_ingresos_totales,ingresos_totales,calidad_ingresos_familiares,ingresos_familiares,ingreso_per_capita_familiar,estado_educativo,sector_educativo,nivel_actual,nivel_max_educativo,años_escolaridad,lugar_nacimiento,afiliacion_salud,cantidad_hijos_nac_vivos,ingreso_total_lab_USD,ingreso_total_no_lab_USD,ingresos_totales_USD,ingresos_familiares_USD,ingreso_per_capita_familiar_USD,sexo_Mujer,sexo_Varon,hijos_nacidos_vivos_No,hijos_nacidos_vivos_Si,sist_de_salud_Sistema privado,sist_de_salud_Sistema público,ingresos_totales_USD_cat
33,1,2,2,0,23,4,4,Padre no vive en el hogar,Madre no vive en el hogar,2,0,3,25000,1,0,3,25000,1,56000,28000,0,0,13,1,15,2,3,0,394.6329913180742,0.0,394.6329913180742,883.9779005524862,441.9889502762431,0,1,1,0,1,0,1
34,1,1,10,0,20,2,4,Padre no vive en el hogar,Madre no vive en el hogar,2,4,3,15000,1,0,3,15000,2,64000,32000,1,1,1,0,10,1,4,0,236.7797947908445,0.0,236.7797947908445,1010.26045777427,505.1302288871349,0,1,1,0,0,1,1
34,1,2,10,0,29,4,4,No corresponde,No corresponde,2,0,3,49000,1,0,3,49000,2,64000,32000,1,1,1,0,11,1,1,0,773.4806629834254,0.0,773.4806629834254,1010.26045777427,505.1302288871349,0,1,1,0,1,0,2
35,1,1,7,1,20,2,5,Padre no vive en el hogar,2,1,1,3,400,3,7000,3,7400,2,14400,3600,1,1,1,0,10,0,4,1,6.314127861089187,110.49723756906076,116.81136543014996,227.30860299921076,56.82715074980268,1,0,0,1,0,1,3
35,1,2,7,1,42,6,4,No corresponde,No corresponde,1,1,1,0,3,7000,3,7000,2,14400,3600,2,1,1,6,0,0,1,2,0.0,110.49723756906076,110.49723756906076,227.30860299921076,56.82715074980268,1,0,0,1,1,0,3
35,1,3,7,1,16,4,4,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,1,0,1,0,2,14400,3600,1,1,1,4,5,0,4,0,0.0,0.0,0.0,227.30860299921076,56.82715074980268,0,1,1,0,0,1,4
35,1,4,7,1,2,1,2,Padre no vive en el hogar,1,1,1,0,0,0,0,0,0,2,14400,3600,2,1,1,6,0,0,4,0,0.0,0.0,0.0,227.30860299921076,56.82715074980268,0,1,1,0,0,1,4
36,1,1,3,0,20,2,5,Padre no vive en el hogar,Madre no vive en el hogar,2,0,3,20000,1,0,3,20000,2,33000,11000,1,1,1,3,12,0,1,0,315.70639305445934,0.0,315.70639305445934,520.9155485398579,173.63851617995263,0,1,1,0,1,0,1
36,1,2,3,0,18,0,5,Padre no vive en el hogar,Madre no vive en el hogar,2,0,3,13000,1,0,3,13000,2,33000,11000,1,1,1,0,9,6,1,1,205.20915548539855,0.0,205.20915548539855,520.9155485398579,173.63851617995263,1,0,0,1,1,0,1
36,1,3,3,0,1,1,2,1,2,1,1,0,0,0,0,0,0,2,33000,11000,2,1,1,6,0,0,4,0,0.0,0.0,0.0,520.9155485398579,173.63851617995263,1,0,1,0,0,1,4
37,1,1,15,0,20,2,5,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,3,25000,3,25000,1,25300,12650,1,1,1,0,11,0,4,0,0.0,394.6329913180742,394.6329913180742,399.3685872138911,199.68429360694557,1,0,1,0,0,1,1
37,1,2,15,0,25,0,5,No corresponde,No corresponde,2,0,2,300,1,0,2,300,1,25300,12650,1,1,1,5,17,5,1,0,4.73559589581689,0.0,4.73559589581689,399.3685872138911,199.68429360694557,1,0,1,0,1,0,3
38,1,1,1,1,20,2,4,Padre no vive en el hogar,Madre no vive en el hogar,2,0,3,12000,1,0,3,12000,2,12000,12000,1,1,1,3,12,0,4,0,189.4238358326756,0.0,189.4238358326756,189.4238358326756,189.4238358326756,1,0,1,0,0,1,3
